GTIN,CATEGORY,SUBCATEGORY,BRAND,MANUFACTURER_PARENT
00810628030125,Beer,Microbrews/Craft,Golden Road,GOLDEN ROAD BREWING CO.
00853585008240,Packaged Beverages,Water,Alta Palla,ANHEUSER-BUSCH INC.
00018200201936,Beer,Flavored Malt,Natural Light,ANHEUSER-BUSCH INC.
00702770251001,Beer,Flavored Malt,Square Mile Cider,SQUARE MILE CIDER CO.
00796030014956,Beer,Microbrews/Craft,Kona,KONA BREWING CO.
00850009785374,Beer,Microbrews/Craft,Wicked Weed,WICKED WEED BREWING
00786150002223,Beer,Imported,Stella Artois,ANHEUSER-BUSCH INC.
00018200260230,Beer,Premium,Budweiser,ANHEUSER-BUSCH INC.
00816751022379,Liquor,Prepared Cocktails,Cutwater,CUTWATER SPIRITS CO.
00999994133500,Beer,Premium,Leffe,ANHEUSER-BUSCH INC.
00018200201608,Wine,Wine,b,B BEVERAGE CO.
05021319001484,Beer,Premium,Budweiser,ANHEUSER-BUSCH INC.
05021319001064,Beer,Premium,Michelob Ultra,ANHEUSER-BUSCH INC.
00850000776661,Beer,Flavored Malt,Virtue Cider,VIRTUE CIDER BREWING CO.
00857914008758,Beer,Microbrews/Craft,Devils Backbone,DEVILS BACKBONE BREWING CO.
00857914008291,Beer,Microbrews/Craft,Devils Backbone,DEVILS BACKBONE BREWING CO.
00018200285035,Beer,Premium,Budweiser,ANHEUSER-BUSCH INC.
00850598008380,Beer,Premium,Karbach Brewing,KARBACH BREWING CO.
00745432600052,Beer,Microbrews/Craft,Breckenridge,BRECKENRIDGE BREWERY CO.
00816751022195,Liquor,Prepared Cocktails,Cutwater,CUTWATER SPIRITS CO.
00999994115220,Beer,Premium,Budweiser,ANHEUSER-BUSCH INC.
00852234005227,Beer,Flavored Malt,Virtue Cider,VIRTUE CIDER BREWING CO.
00810628030132,Beer,Microbrews/Craft,Golden Road,GOLDEN ROAD BREWING CO.
00817904008243,Beer,Microbrews/Craft,Elysian,ELYSIAN BREWING CO.
00670822361230,Beer,Microbrews/Craft,Cisco Brewers,CISCO BREWERS INC.
00719057011722,Beer,Imported,Presidente,ANHEUSER-BUSCH INC.
00857531005123,Beer,Microbrews/Craft,Wicked Weed,WICKED WEED BREWING
00850000776616,Beer,Microbrews/Craft,Wicked Weed,WICKED WEED BREWING
00702770008032,Beer,Microbrews/Craft,Widmer Brothers,WIDMER BROTHERS BREWING CO.
00736920118579,Beer,Microbrews/Craft,Goose Island,GOOSE ISLAND BREWING CO.
00810628031382,Beer,Microbrews/Craft,Golden Road,GOLDEN ROAD BREWING CO.
00850000776203,Beer,Flavored Malt,Virtue Cider,VIRTUE CIDER BREWING CO.
05021319002993,Beer,Premium,Budweiser,ANHEUSER-BUSCH INC.
00018200258701,Beer,Premium,Budweiser,ANHEUSER-BUSCH INC.
00850021346003,Liquor,Prepared Cocktails,Devils Backbone,DEVILS BACKBONE BREWING CO.
00018200200533,Beer,Flavored Malt,Natural Light,ANHEUSER-BUSCH INC.
00816751020675,Liquor,Prepared Cocktails,Cutwater,CUTWATER SPIRITS CO.
00810628031153,Beer,Microbrews/Craft,Golden Road,GOLDEN ROAD BREWING CO.
00088394000110,Beer,Imported,Spaten,ANHEUSER-BUSCH INC.
00745432162017,Beer,Microbrews/Craft,Breckenridge,BRECKENRIDGE BREWERY CO.
00816751020309,Liquor,Distilled Spirits,Cutwater,CUTWATER SPIRITS CO.
00999995157260,Beer,Flavored Malt,Kirin Ichiban,ANHEUSER-BUSCH INC.
00857914008048,Beer,Microbrews/Craft,Devils Backbone,DEVILS BACKBONE BREWING CO.
00852234005876,Beer,Flavored Malt,Virtue Cider,VIRTUE CIDER BREWING CO.
00018200200861,Packaged Beverages,Iced Tea,Teavana,ANHEUSER-BUSCH INC.
00021242240078,Beer,Microbrews/Craft,Redhook,REDHOOK ALE BREWERY CO.
00851538008655,Beer,Microbrews/Craft,10 Barrel,10 BARREL BREWING CO.
00736920210310,Beer,Microbrews/Craft,Goose Island,GOOSE ISLAND BREWING CO.
00745432700011,Beer,Microbrews/Craft,Breckenridge,BRECKENRIDGE BREWERY CO.
00893919001714,Packaged Beverages,Water,Icelandic Glacial,ANHEUSER-BUSCH INC.
00018200285899,Beer,Premium,Budweiser,ANHEUSER-BUSCH INC.
00857914008826,Liquor,Prepared Cocktails,Devils Backbone,DEVILS BACKBONE BREWING CO.
00745432790005,Beer,Microbrews/Craft,Breckenridge,BRECKENRIDGE BREWERY CO.
05011046008498,Beer,Premium,Budweiser,ANHEUSER-BUSCH INC.
00018200261640,Beer,Imported,Montejo,ANHEUSER-BUSCH INC.
00893919001509,Packaged Beverages,Water,Icelandic Glacial,ANHEUSER-BUSCH INC.
00810628030699,Beer,Microbrews/Craft,Golden Road,GOLDEN ROAD BREWING CO.
00816751022051,Liquor,Prepared Cocktails,Cutwater,CUTWATER SPIRITS CO.
00702770000036,Beer,Microbrews/Craft,Widmer Brothers,WIDMER BROTHERS BREWING CO.
00858106001441,Beer,Microbrews/Craft,Starr Hill,Starr Hill Brewery
00018200260568,Beer,Flavored Malt,Social Club,ANHEUSER-BUSCH INC.
04901411526904,Beer,Premium,Budweiser,ANHEUSER-BUSCH INC.
00810628031900,Beer,Microbrews/Craft,Golden Road,GOLDEN ROAD BREWING CO.
00860359000409,Beer,Microbrews/Craft,Wicked Weed,WICKED WEED BREWING
00869037000342,Wine,Wine,Babe,BABE
00816751021481,Liquor,Prepared Cocktails,Cutwater,CUTWATER SPIRITS CO.
00018200969027,Beer,Premium,Michelob,ANHEUSER-BUSCH INC.
00857291004190,Beer,Flavored Malt,Kombrewcha,ANHEUSER-BUSCH INC.
00893919001257,Packaged Beverages,Water,Icelandic Glacial,ANHEUSER-BUSCH INC.
00857914008109,Beer,Microbrews/Craft,Devils Backbone,DEVILS BACKBONE BREWING CO.
00850162008600,Beer,Microbrews/Craft,10 Barrel,10 BARREL BREWING CO.
00893919001271,Packaged Beverages,Water,Icelandic Glacial,ANHEUSER-BUSCH INC.
00865776000421,Wine,Wine,Babe,BABE
00670822430165,Beer,Microbrews/Craft,Cisco Brewers,CISCO BREWERS INC.
00856655003657,Beer,Microbrews/Craft,Devils Backbone,DEVILS BACKBONE BREWING CO.
00856655003237,Beer,Microbrews/Craft,Devils Backbone,DEVILS BACKBONE BREWING CO.
00018200201240,Packaged Beverages,Iced Tea,Teavana,ANHEUSER-BUSCH INC.
00850000776852,Beer,Flavored Malt,Virtue Cider,VIRTUE CIDER BREWING CO.
00852234005593,Beer,Flavored Malt,Virtue Cider,VIRTUE CIDER BREWING CO.
00018200259548,Beer,Flavored Malt,Lucky Streak,ANHEUSER-BUSCH INC.
00702770004003,Beer,Microbrews/Craft,Widmer Brothers,WIDMER BROTHERS BREWING CO.
00018200261947,Beer,Flavored Malt,Cacti,ANHEUSER-BUSCH INC.
00796030824319,Beer,Microbrews/Craft,Kona,KONA BREWING CO.
00018200261077,Beer,Flavored Malt,Natural Light,ANHEUSER-BUSCH INC.
00850162008297,Beer,Microbrews/Craft,10 Barrel,10 BARREL BREWING CO.
00665714100066,Beer,Microbrews/Craft,Fordham,ANHEUSER-BUSCH INC.
00857914008185,Beer,Microbrews/Craft,Devils Backbone,DEVILS BACKBONE BREWING CO.
00796030914935,Beer,Microbrews/Craft,Kona,KONA BREWING CO.
00810028200951,Beer,Premium,Karbach Brewing,KARBACH BREWING CO.
00817904001411,Beer,Microbrews/Craft,Elysian,ELYSIAN BREWING CO.
07861500014934,Beer,Flavored Malt,Stella Artois,ANHEUSER-BUSCH INC.
00999994133430,Beer,Premium,Budweiser,ANHEUSER-BUSCH INC.
00018200002229,Beer,Premium,Michelob Ultra,ANHEUSER-BUSCH INC.
00857914008772,Beer,Microbrews/Craft,Devils Backbone,DEVILS BACKBONE BREWING CO.
00819902020111,Beer,Microbrews/Craft,Veza Sur,VEZA SUR BREWING CO.
00018200435508,Beer,Premium,Michelob,ANHEUSER-BUSCH INC.
00810628030248,Beer,Microbrews/Craft,Golden Road,GOLDEN ROAD BREWING CO.
00745432110018,Beer,Microbrews/Craft,Breckenridge,BRECKENRIDGE BREWERY CO.
00852234005098,Beer,Flavored Malt,Virtue Cider,VIRTUE CIDER BREWING CO.
00819902020166,Beer,Microbrews/Craft,Veza Sur,VEZA SUR BREWING CO.
00810628030507,Beer,Microbrews/Craft,Golden Road,GOLDEN ROAD BREWING CO.
00850009785480,Beer,Microbrews/Craft,Wicked Weed,WICKED WEED BREWING
00810628031399,Beer,Microbrews/Craft,Golden Road,GOLDEN ROAD BREWING CO.
00082000791638,Beer,Flavored Malt,Smirnoff Ice,null
00853158004037,Packaged Beverages,Water,ALKALINE88,null
00757528046682,Salty Snacks,Potato Chips,Barcel Takis Crisps,Grupo Bimbo
00757528046675,Salty Snacks,Potato Chips,Barcel Takis Crisps,Grupo Bimbo
00757528046514,Salty Snacks,Potato Chips,Barcel Takis Waves,Grupo Bimbo
00757528045388,Salty Snacks,Potato Chips,Barcel Takis Waves,Grupo Bimbo
00051000038685,Edible Grocery,Other Edible Grocery,Campbell's,Campbell Soup Company
00051000150769,Edible Grocery,Other Edible Grocery,Campbell's,Campbell Soup Company
00051000253019,Edible Grocery,Other Edible Grocery,Campbell's,Campbell Soup Company
00070662087299,Edible Grocery,Other Edible Grocery,Nissin,null
00051000274779,Edible Grocery,Other Edible Grocery,Campbell's,Campbell Soup Company
00051000215864,Edible Grocery,Other Edible Grocery,Campbell's,Campbell Soup Company
00648436100194,Edible Grocery,Other Edible Grocery,Paldo,null
00051000246516,Edible Grocery,Other Edible Grocery,Campbell's,Campbell Soup Company
00041196911138,Edible Grocery,Other Edible Grocery,Progresso,General Mills
00051000010513,Edible Grocery,Other Edible Grocery,Campbell's,Campbell Soup Company
00041196452815,Edible Grocery,Other Edible Grocery,Progresso,General Mills
00051000253033,Edible Grocery,Other Edible Grocery,Campbell's,Campbell Soup Company
00070662404027,Edible Grocery,Other Edible Grocery,Nissin,null
00051000250346,Edible Grocery,Other Edible Grocery,Campbell's,Campbell Soup Company
00031700056905,Other Tobacco Products,Cigars,White Owl,null
00818094000048,Packaged Beverages,Energy Drinks,Rockstar,Pepsi-Cola
00818094008808,Packaged Beverages,Energy Drinks,Rockstar,Pepsi-Cola
00732153015920,Alternative Snacks,Meat Snacks,EPIC,General Mills
00041196891072,Edible Grocery,Other Edible Grocery,Progresso,General Mills
00016000115903,Alternative Snacks,Health/Energy Snacks,Nature Valley,General Mills
00732153236134,Alternative Snacks,Meat Snacks,EPIC,General Mills
00016000514799,Packaged Sweet Snacks,Cookies,Nature Valley,General Mills
00070137005384,Other Tobacco Products,Cigars,Black & Mild,Altria Group
00073100002762,Other Tobacco Products,Smokeless,Red Seal Tobacco,Altria Group
00818094005951,Packaged Beverages,Energy Drinks,Rockstar,Pepsi-Cola
00840045203369,Other Tobacco Products,Smokeless Tobacco Alternatives,Rogue,null
00031700050422,Other Tobacco Products,Cigars,White Owl,null
00762446726110,Other Tobacco Products,Smokeless,Timber Wolf,null
00762446414024,Other Tobacco Products,Smokeless,Longhorn,null
00031700054222,Other Tobacco Products,Cigars,White Owl,null
00031700044384,Other Tobacco Products,Cigars,White Owl,null
00025900259310,Other Tobacco Products,Cigars,Swisher Sweets,null
06941291508117,Other Tobacco Products,Vaping Products,Voopoo,null
00041196020229,Edible Grocery,Other Edible Grocery,Progresso,General Mills
00041196010510,Edible Grocery,Other Edible Grocery,Progresso,General Mills
00732153248816,Alternative Snacks,Meat Snacks,EPIC,General Mills
00041196021240,Edible Grocery,Other Edible Grocery,Progresso,General Mills
00041196406740,Edible Grocery,Other Edible Grocery,Progresso,General Mills
00041196891089,Edible Grocery,Other Edible Grocery,Progresso,General Mills
00016000145153,Alternative Snacks,Granola/Fruit Snacks,Motts,General Mills
00041196010220,Edible Grocery,Other Edible Grocery,Progresso,General Mills
00016000507661,Alternative Snacks,Health/Energy Snacks,Nature Valley,General Mills
00073100000058,Other Tobacco Products,Smokeless,Skoal,Altria Group
00016000411265,Alternative Snacks,Health/Energy Snacks,Nature Valley,General Mills
00040000503156,Candy,Chocolate Bars/Packs,Snickers,null
00016000515420,Alternative Snacks,Health/Energy Snacks,Nature Valley,General Mills
00818094009201,Packaged Beverages,Energy Drinks,Rockstar,Pepsi-Cola
00818094008785,Packaged Beverages,Energy Drinks,Rockstar,Pepsi-Cola
00818094002554,Packaged Beverages,Energy Drinks,Rockstar,Pepsi-Cola
00818094005876,Packaged Beverages,Energy Drinks,Rockstar,Pepsi-Cola
00818094005968,Packaged Beverages,Energy Drinks,Rockstar,Pepsi-Cola
00421000054310,Other Tobacco Products,Smokeless,Grizzly,null
00073100002472,Other Tobacco Products,Smokeless,Red Seal Tobacco,Altria Group
00028200304124,Cigarettes,Premium/Super Premium,Basic,Altria Group
00070137514244,Other Tobacco Products,Cigars,Black & Mild,Altria Group
00799953024118,Other Tobacco Products,Smokeless,Stokers,null
06851412101458,Cigarettes,Economy/Value,Berley,null
00031700055885,Other Tobacco Products,Cigars,White Owl,null
00031700057575,Other Tobacco Products,Cigars,White Owl,null
00031700901885,Other Tobacco Products,Cigars,White Owl,null
00008660007698,Other Tobacco Products,Papers,Zigzag,null
00762446404322,Other Tobacco Products,Smokeless,Longhorn,null
06941291516259,Other Tobacco Products,Vaping Products,Voopoo,null
00887969005297,Other Tobacco Products,Vaping Products,Blu,null
00887969007222,Other Tobacco Products,Vaping Products,Blu,null
00887969011359,Other Tobacco Products,Vaping Products,Blu,null
00070137005186,Other Tobacco Products,Cigars,Black & Mild,Altria Group
00819913019432,Other Tobacco Products,Vaping Products,JUUL,null
00028200304728,Cigarettes,Premium/Super Premium,Basic,Altria Group
00762446727063,Other Tobacco Products,Smokeless,Timber Wolf,null
00070137115113,Other Tobacco Products,Cigars,Black & Mild,Altria Group
00681467003393,Cigarettes,Economy/Value,Seneca,null
00008660007315,Other Tobacco Products,Papers,Zigzag,null
00073100089282,Other Tobacco Products,Smokeless,Red Seal Tobacco,Altria Group
06941291522359,Other Tobacco Products,Vaping Products,Voopoo,null
00070137512776,Other Tobacco Products,Cigars,Black & Mild,Altria Group
00070137500384,Other Tobacco Products,Cigars,Black & Mild,Altria Group
00073100005619,Other Tobacco Products,Smokeless,Red Seal Tobacco,Altria Group
00041196891058,Edible Grocery,Other Edible Grocery,Progresso,General Mills
00685141210237,Cigarettes,Economy/Value,Berley,null
00070195599191,Other Tobacco Products,Smokeless,Red Man,null
00070137115090,Other Tobacco Products,Cigars,Black & Mild,Altria Group
00025900247010,Other Tobacco Products,Cigars,Swisher Sweets,null
00070137214953,Other Tobacco Products,Cigars,Black & Mild,Altria Group
00618149267095,Other Tobacco Products,Vaping Products,Breeze Smoke,null
00073100006579,Other Tobacco Products,Smokeless,Copenhagen,Altria Group
00070137115076,Other Tobacco Products,Cigars,Black & Mild,Altria Group
00041196123272,Edible Grocery,Other Edible Grocery,Progresso,General Mills
00070662404010,Edible Grocery,Other Edible Grocery,Nissin,null
00051000224675,Edible Grocery,Other Edible Grocery,Campbell's,Campbell Soup Company
00051000010315,Edible Grocery,Other Edible Grocery,Campbell's,Campbell Soup Company
00051000134592,Edible Grocery,Other Edible Grocery,Campbell's,Campbell Soup Company
00051000155474,Edible Grocery,Other Edible Grocery,Campbell's,Campbell Soup Company
00041196101621,Edible Grocery,Other Edible Grocery,Progresso,General Mills
00041196110685,Edible Grocery,Other Edible Grocery,Progresso,General Mills
00051000016591,Edible Grocery,Other Edible Grocery,Campbell's,Campbell Soup Company
00041196915051,Edible Grocery,Other Edible Grocery,Progresso,General Mills
00051000016416,Edible Grocery,Other Edible Grocery,Campbell's,Campbell Soup Company
00051000180643,Edible Grocery,Other Edible Grocery,Campbell's,Campbell Soup Company
00051000253002,Edible Grocery,Other Edible Grocery,Campbell's,Campbell Soup Company
00648436100040,Edible Grocery,Other Edible Grocery,Paldo,null
00051000224729,Edible Grocery,Other Edible Grocery,Campbell's,Campbell Soup Company
00051000199553,Edible Grocery,Other Edible Grocery,Campbell's,Campbell Soup Company
00070662404041,Edible Grocery,Other Edible Grocery,Nissin,null
00051000246332,Edible Grocery,Other Edible Grocery,Campbell's,Campbell Soup Company
00051000025883,Edible Grocery,Other Edible Grocery,Campbell's,Campbell Soup Company
00051000149824,Edible Grocery,Other Edible Grocery,Campbell's,Campbell Soup Company
00051000166807,Edible Grocery,Other Edible Grocery,Campbell's,Campbell Soup Company
00041196010886,Edible Grocery,Other Edible Grocery,Progresso,General Mills
00041196111859,Edible Grocery,Other Edible Grocery,Progresso,General Mills
00051000005878,Edible Grocery,Other Edible Grocery,Campbell's,Campbell Soup Company
00051000281081,Edible Grocery,Other Edible Grocery,Campbell's,Campbell Soup Company
00051000212313,Edible Grocery,Other Edible Grocery,Campbell's,Campbell Soup Company
00051000228956,Edible Grocery,Other Edible Grocery,Campbell's,Campbell Soup Company
00041196910759,Edible Grocery,Other Edible Grocery,Progresso,General Mills
00051000060075,Edible Grocery,Other Edible Grocery,Campbell's,Campbell Soup Company
00041196110647,Edible Grocery,Other Edible Grocery,Progresso,General Mills
00051000187239,Edible Grocery,Other Edible Grocery,Campbell's,Campbell Soup Company
00051000277466,Edible Grocery,Other Edible Grocery,Campbell's,Campbell Soup Company
00051000159045,Edible Grocery,Other Edible Grocery,Campbell's,Campbell Soup Company
00041196914030,Edible Grocery,Other Edible Grocery,Progresso,General Mills
00051000005502,Edible Grocery,Other Edible Grocery,Campbell's,Campbell Soup Company
00051000010810,Edible Grocery,Other Edible Grocery,Campbell's,Campbell Soup Company
00051000281012,Edible Grocery,Other Edible Grocery,Campbell's,Campbell Soup Company
00090600301102,Cigarettes,Mid-Level,USA Gold,Imperial Brands
00041196010619,Edible Grocery,Other Edible Grocery,Progresso,General Mills
00051000274427,Edible Grocery,Other Edible Grocery,Campbell's,Campbell Soup Company
00070662087206,Edible Grocery,Other Edible Grocery,Nissin,null
00031146007622,Edible Grocery,Other Edible Grocery,Nongshim,null
00850006748716,Edible Grocery,Other Edible Grocery,Pocas,null
00051000148780,Edible Grocery,Other Edible Grocery,Campbell's,Campbell Soup Company
00051000128041,Edible Grocery,Other Edible Grocery,Campbell's,Campbell Soup Company
00090600301164,Cigarettes,Mid-Level,USA Gold,Imperial Brands
00051000233448,Edible Grocery,Other Edible Grocery,Campbell's,Campbell Soup Company
00090600301171,Cigarettes,Mid-Level,USA Gold,Imperial Brands
00090600301096,Cigarettes,Mid-Level,USA Gold,Imperial Brands
00090600301140,Cigarettes,Mid-Level,USA Gold,Imperial Brands
00090600301331,Cigarettes,Mid-Level,USA Gold,Imperial Brands
00090600301157,Cigarettes,Mid-Level,USA Gold,Imperial Brands
00070137111399,Other Tobacco Products,Cigars,Black & Mild,Altria Group
00762446721290,Other Tobacco Products,Smokeless,Timber Wolf,null
00762446495160,Other Tobacco Products,Smokeless,Longhorn,null
00041196466423,Edible Grocery,Other Edible Grocery,Progresso,General Mills
00051000134585,Edible Grocery,Other Edible Grocery,Campbell's,Campbell Soup Company
00051000005687,Edible Grocery,Other Edible Grocery,Campbell's,Campbell Soup Company
00051000148803,Edible Grocery,Other Edible Grocery,Campbell's,Campbell Soup Company
00070662026038,Edible Grocery,Other Edible Grocery,Nissin,null
00070662030035,Edible Grocery,Other Edible Grocery,Nissin,null
00051000137364,Edible Grocery,Other Edible Grocery,Campbell's,Campbell Soup Company
00051000069597,Edible Grocery,Other Edible Grocery,Campbell's,Campbell Soup Company
00051000159052,Edible Grocery,Other Edible Grocery,Campbell's,Campbell Soup Company
00028200584816,Cigarettes,Premium/Super Premium,Marlboro,Altria Group
00051000014672,Edible Grocery,Other Edible Grocery,Campbell's,Campbell Soup Company
00648436100279,Edible Grocery,Other Edible Grocery,Paldo,null
00051000212306,Edible Grocery,Other Edible Grocery,Campbell's,Campbell Soup Company
00051000105264,Edible Grocery,Other Edible Grocery,Campbell's,Campbell Soup Company
00051000233455,Edible Grocery,Other Edible Grocery,Campbell's,Campbell Soup Company
00648436100620,Edible Grocery,Other Edible Grocery,Paldo,null
00041196466485,Edible Grocery,Other Edible Grocery,Progresso,General Mills
00051000011510,Edible Grocery,Other Edible Grocery,Campbell's,Campbell Soup Company
00073100054778,Other Tobacco Products,Smokeless,Copenhagen,Altria Group
00762446495122,Other Tobacco Products,Smokeless,Longhorn,null
00070137210375,Other Tobacco Products,Cigars,Black & Mild,Altria Group
00028200304612,Cigarettes,Premium/Super Premium,Basic,Altria Group
00802284011143,Cigarettes,Economy/Value,Exeter,null
00070137831822,Other Tobacco Products,Cigars,Black & Mild,Altria Group
00075926050491,Cigarettes,Economy/Value,GPC,null
00028200198303,Cigarettes,Economy/Value,Virginia Slims,Altria Group
00681467902030,Cigarettes,Economy/Value,Seneca,null
00802284001250,Cigarettes,Economy/Value,Exeter,null
00762446490530,Other Tobacco Products,Smokeless,Longhorn,null
00000870100046,Cigarettes,Economy/Value,USA,Vector group
06851419131144,Cigarettes,Economy/Value,24/7,null
00012300236133,Cigarettes,Premium/Super Premium,Monarch,null
00709215213983,Cigarettes,Economy/Value,305's,null
00762446450206,Other Tobacco Products,Smokeless,Longhorn,null
00689490000914,Cigarettes,Premium/Super Premium,Timeless Time,KT&G Corporation
00070137110460,Other Tobacco Products,Cigars,Black & Mild,Altria Group
00070137832027,Other Tobacco Products,Cigars,Black & Mild,Altria Group
00026100016321,Cigarettes,Premium/Super Premium,Newport,null
00075926050286,Cigarettes,Economy/Value,GPC,null
