PAYMENT_TYPE,GTIN,POS_DESCRIPTION,CATEGORY,BRAND,PURCHASE_COUNT,TOTAL_SALES,TOTAL_UNITS
DEBIT,0,COUPON,null,null,1086,-2607.21,1101
EBT,0,GROC TAX,null,null,1084,3544.8000000000015,1322
CREDIT,0,HIGH GROC,null,null,1082,9493.130000000006,1476
CASH,0,CIGS PACK,null,null,1077,6330.430000000004,2455
DEBIT,0,DELI HOT,null,null,1071,3914.0800000000054,1109
DEBIT,0,Cigarettes,null,null,1067,16171.310000000003,1483
DEBIT,0,HOT DELI,null,null,1062,2564.2400000000025,1135
LOTTERY,0,LOTTRY,null,null,1062,14299,1201
CREDIT,0,Online Lottery,null,null,1052,8384.95,1060
CASH,0,TACKLE,null,null,1049,5639.000000000001,1526
DEBIT,0,Breakfast,null,null,1049,4124.330000000005,1103
CASH,0,Cigars,null,null,1043,2906.989999999997,1723
CASH,0,BOTTLE RETURNS,null,null,1042,-629.54,1042
DEBIT,0,CIGARS,null,null,1034,6360.140000000007,3501
CREDIT,0,Taxable Grocery,null,null,1033,7526.920000000005,1165
EBT,0,WATER,null,null,1033,11177.35,1036
CREDIT,0,GROCERY N/TAX,null,null,1024,5705.390000000002,1157
CASH,0,CIG PK,null,null,1018,4201.750000000001,1756
CASH,0,STORE COUPON,null,null,1015,-3462.4400000000005,1015
CASH,0,Fast Food,null,null,1012,2677.9499999999985,1068
CREDIT,0,Ice,null,null,1003,3301.890000000002,1310
CREDIT,0,FOUNTAIN DRINK,null,null,1000,2064.8100000000018,1109
CREDIT,0,ALCOHOL,null,null,997,11424.21000000001,1560
CREDIT,0,Lotto Online,null,null,985,6143,986
CREDIT,0,Packaged Beverage,null,null,984,4157.350000000002,1170
CREDIT,0,Candy,null,null,978,2337.2599999999998,1383
CREDIT,0,GROCERIES,null,null,971,12449.100000000004,1094
CREDIT,0,CIG PACK,null,null,964,5271.480000000003,1841
DEBIT,0,NON TAX GROC,null,null,944,7659.120000000003,1079
DEBIT,0,Fast Food,null,null,942,2505.4099999999994,1029
DEBIT,0,Candy,null,null,941,2326.2799999999997,1330
DEBIT,0,EDIBLE GROCERY,null,null,933,3537.2600000000016,1073
CASH,0,ice,null,null,930,2970.819999999998,1087
CASH,0,GEN MERCH NT,null,null,930,2786.350000000002,993
CASH,0,ice bag,null,null,921,2725.9100000000035,1052
CREDIT,0,ice bag,null,null,916,3498.9800000000046,1346
DEBIT,0,WATER,null,null,902,4108.190000000002,979
CASH,0,Breakfast,null,null,895,3501.6700000000037,941
CREDIT,0,WATER,null,null,881,4636.680000000002,965
DEBIT,0,LOTTERY P/O,null,null,868,-12672,868
DEBIT,0,Novelty,null,null,866,6122.620000000005,1087
DEBIT,0,LOTTERYPAYOUT,null,null,865,-7036,865
HOUSE ACCOUNT,0,GEN,null,null,861,3479.6800000000017,953
CASH,0,LOTTO ONLINE P/O,null,null,861,-6112,861
CREDIT,0,Food,null,null,861,2235.2500000000005,1073
CREDIT,0,CHIPS,null,null,851,2604.03,954
DEBIT,0,LOTTO PAY OUT,null,null,850,-12855.5,850
DEBIT,0,NEWS PAPER,null,null,843,2470.92,851
CASH,0,deli no tax,null,null,842,1907.3799999999992,860
CREDIT,0,E-cig,null,null,839,26202.266999999945,839
DEBIT,0,Lottery On-Line,null,null,831,17796,831
CREDIT,0,GROC TX,null,null,825,6022.470000000003,1048
DEBIT,0,BEER/WINE,null,null,822,7904.080000000004,1065
CREDIT,0,GROCERY LOW TAX,null,null,814,2161.9000000000005,861
DEBIT,0,FOUNTAIN DRINK,null,null,804,1659.1000000000006,895
DEBIT,0,GROCERY LOW TAX,null,null,800,2351.7700000000004,857
CREDIT,0,NON TAX GROCERY,null,null,795,1744.6200000000008,827
DEBIT,0,LOTTERY PAY OUT,null,null,793,-7503.469999999999,793
DEBIT,0,TACKLE,null,null,786,4067.790000000001,1133
CASH,0,GROCERY FOOD,null,null,784,1916.6800000000007,902
DEBIT,0,ON LINE LOTTO,null,null,780,7006.6,780
CREDIT,0,MEGABUCKS,null,null,779,7023,781
CARD,0,LOTTERY,null,null,778,8320.25,780
DEBIT,0,GROC NO TAX,null,null,776,7389.970000000003,826
DEBIT,0,CIGS PACK,null,null,773,8313.930000000002,1970
DEBIT,0,SERVICE FEE,null,null,771,407.3999999999999,774
CREDIT,0,GEN,null,null,770,3448.3000000000006,971
CASH,0,Grocery NonTax,null,null,763,1972.000000000001,856
CREDIT,0,GEN MERCH NT,null,null,761,2923.590000000002,801
DEBIT,0,Taxable Grocery,null,null,760,4331.890000000002,851
DEBIT,0,NT-GROCERY,null,null,756,2609.690000000002,880
CREDIT,0,Vape Products,null,null,748,21448.13999999997,808
CASH,0,GROC. TAX,null,null,747,3634.120000000003,876
CASH,0,online lottery,null,null,747,7626.68,855
CREDIT,0,GIFT CARD,null,null,744,31978.05,748
CASH,0,ALCOHOL,null,null,743,5531.380000000004,1427
DEBIT,0,150 SALTY SNACKS,null,null,742,1699.92,1132
DEBIT,0,Packaged Beverage,null,null,741,2842.340000000001,848
CASH,0,Lotto Payout,null,null,734,-8360.01,734
CREDIT,0,Labor,null,null,730,179415.84000000003,730
CREDIT,0,SNACK,null,null,722,2309.21,839
CREDIT,0,Online Lotto,null,null,718,8961,758
CREDIT,0,CIG PK,null,null,716,4579.73,2147
CREDIT,0,deli no tax,null,null,715,1605.8999999999992,728
CREDIT,0,INSTANT LOTTERY,null,null,708,17784,753
DEBIT,0,SALTY SNACKS,null,null,694,3279.48,759
CREDIT,0,LOTTERY PAY OUT,null,null,694,-5814.98,696
CREDIT,0,fountain,null,null,684,1610.9799999999998,766
HOUSE ACCOUNT,0,Food Service,null,null,673,3312.820000000003,774
CASH,0,MONEY ORDER,null,null,673,186216.37000000026,674
DEBIT,0,DELI LUNCH,null,null,664,2396.2,689
EBT,0,NT-GROCERY,null,null,662,2328.630000000002,757
DEBIT,0,WINE,null,null,656,5717.390000000002,874
DEBIT,0,ALCOHOL,null,null,652,8570.600000000004,1409
CREDIT,0,PREPAID CARDS,null,null,652,19207.5,652
DEBIT,0,CIG CTN,null,null,652,31258.17999999995,773
CREDIT,0,Other Tobacco,null,null,647,20164.379999999994,850
EBT,0,FOUNTAIN,null,null,644,1203.7299999999996,720
DEBIT,0,Other Tobacco,null,null,639,21240.979999999996,1166
DEBIT,0,Lottery PO,null,null,637,-8589,637
CREDIT,0,GROC. TAX,null,null,633,3408.0100000000025,741
CREDIT,0,HOT DELI,null,null,632,1534.4600000000005,667
CASH,0,Produce,null,null,624,1694.2600000000002,759
EBT,0,CANDY,null,null,622,1468.7300000000002,898
CREDIT,0,credit fee,null,null,620,218.85999999999987,620
CREDIT,0,EDIBLE GROCERY,null,null,619,3790.1400000000003,715
CASH,0,Groc No Tax,null,null,618,901.0200000000001,647
DEBIT,0,E-Cigarettes,null,null,613,11782.550000000007,655
DEBIT,0,GROC H,null,null,611,6466.250000000004,691
DEBIT,0,SNACK,null,null,608,1916.27,688
CASH,0,WINE,null,null,607,5070.550000000002,891
CREDIT,0,ONLINE WIN,null,null,598,-3276,598
CASH,0,CHICKEN,null,null,597,1682.3,738
DEBIT,0,Soda Fountain,null,null,589,1141.6100000000004,640
COUPON,0,NON TAX GROCRY,null,null,587,42955.630000000005,2605
CASH,0,Maxican Candy,null,null,586,708.2400000000001,847
DEBIT,0,Fountain Drinks,null,null,585,1093.3399999999995,618
CREDIT,0,Fountain Drinks,null,null,584,1072.7199999999991,605
CREDIT,0,GROC NOTAX,null,null,583,2708.040000000001,655
HOUSE ACCOUNT,0,Breakfast,null,null,574,2288.910000000001,620
CREDIT,0,HOT FOOD,null,null,573,2111.6999999999994,591
CREDIT,0,DELI HOT,null,null,569,2526.340000000002,622
CREDIT,0,LOTTO PAYOUT,null,null,566,-3242,579
EBT,0,ENERGY DRINKS,null,null,562,2731.58,629
CASH,0,Packaged Beverage,null,null,555,1719.9600000000005,647
DEBIT,0,SCRATCH PAID OUT,null,null,551,-8367.01,551
DEBIT,0,CIG PK,null,null,549,3065.479999999999,1099
CHECK,0,NON GROC,null,null,547,2083.1499999999996,638
CASH,0,NON GROCERY,null,null,546,2973.5600000000018,636
EBT,0,Grocery no tax,null,null,545,1567.3900000000003,556
CASH,0,SALTY SNACKS,null,null,545,1860.9900000000005,592
COUPON,0,TOBACCO,null,null,543,7754.380000000002,1816
CREDIT,0,Maxican Candy,null,null,537,756.52,910
CREDIT,0,Coffee,null,null,533,1045.6900000000003,581
CREDIT,0,NEWS PAPER,null,null,532,1595.95,536
CASH,0,NONEDIBLE GROCERY,null,null,531,3081.0800000000027,567
EBT,0,GROC TX,null,null,529,2405.1800000000003,664
DEBIT,0,LOTTERY SCRATCH P/O,null,null,527,-8098,527
DEBIT,0,Vape Products,null,null,527,14700.9,564
DEBIT,0,LOTTRY,null,null,520,5425.1,587
CREDIT,0,CIGGS,null,null,520,8749.670000000002,702
DEBIT,0,fountain,null,null,511,1243.5499999999995,577
CREDIT,0,150 SALTY SNACKS,null,null,507,1134.2499999999998,774
CREDIT,0,GROC H,null,null,505,5331.400000000002,562
COUPON,0,Lotto,null,null,503,6677,503
CHECK,0,ON LINE LOTTERY,null,null,501,3828,505
CREDIT,0,ice,null,null,498,1812.9999999999995,596
CREDIT,0,Cigarettes,null,null,498,11857.260000000002,992
CASH,0,Gen Merch,null,null,495,1658.62,623
DEBIT,0,GROCERY FOOD,null,null,493,1369.2,552
CASH,0,Chips,null,null,486,1018.29,502
CREDIT,0,SCRATCH WIN,null,null,480,-4828.5,480
CREDIT,0,NT-GROCERY,null,null,478,1696.5600000000004,551
CREDIT,0,Lottery Payout,null,null,477,-5358,477
DEBIT,0,EDIBLE GROCERY T,null,null,475,2615.6700000000014,509
CASH,0,Scratch Off Payout,null,null,474,-11028.08,474
CREDIT,0,Edible Groc,null,null,473,4557.100000000002,626
HOUSE ACCOUNT,0,NON GROC,null,null,469,1201.3600000000001,482
EBT,0,COFFEE,null,null,469,909.96,521
EBT,0,GROC NOTAX,null,null,468,1905.3300000000004,514
CASH,0,CIG,null,null,465,3666.41,779
DEBIT,0,Lotto Paid out,null,null,463,-3913,463
DEBIT,0,ice,null,null,462,1768.4199999999998,553
CASH,0,PAYOUT,null,null,462,-30567.13,462
CREDIT,0,GROC T,null,null,455,4381.590000000002,541
DEBIT,0,General Merch,null,null,451,18409.249999999993,507
CASH,0,EDIBLE GROCERY T,null,null,442,2344.070000000001,477
DEBIT,0,ice bag,null,null,438,1529.69,596
DEBIT,0,Online Payout,null,null,435,-3224,436
CREDIT,0,Produce,null,null,433,1225.04,545
CREDIT,0,GROC NO TAX,null,null,431,4605.110000000001,826
DEBIT,0,Fountain,null,null,424,655.46,475
CREDIT,0,General Merch,null,null,424,15697.93,490
CREDIT,0,CIGARS,null,null,421,3862.2200000000016,2732
CREDIT,0,PIZZA,null,null,421,1689.1800000000005,482
DEBIT,0,CIG COUPONS,null,null,420,-950.52,422
DEBIT,0,LOTTERY PAY-OUT,null,null,417,-9580,417
COUPON,0,LOTTERY,null,null,415,4690.03,415
CASH,0,GROCERY HI TAX,null,null,415,1123.52,541
DEBIT,0,Mega Millions,null,null,410,1539,410
CASH,0,CIG COUPONS,null,null,409,-678.92,409
CASH,0,NO TAX GROCERY,null,null,404,728.7600000000002,456
CASH,0,LOTTERY SCRATCHER,null,null,403,4140,440
CHECK,0,GROCERY,null,null,400,12157.130000000001,452
EBT,0,Grocery tax,null,null,396,1222.9500000000003,411
CASH,0,COUPONS,null,null,393,-597.64,399
DEBIT,0,NEWSPAPER,null,null,391,818.1,392
DEBIT,0,Online Lotto PO,null,null,389,-3838,390
LOTTERY,0,Lotto,null,null,387,4799,387
LOTTERY,0,SCRTCH,null,null,387,60513,401
CREDIT,0,Gen Merch,null,null,386,1788.81,468
CREDIT,0,TACKLE,null,null,384,2142.06,581
DEBIT,0,LOTTO-PO,null,null,384,-4585,384
CREDIT,0,COUPONS,null,null,384,-575.5,387
CREDIT,0,SALTY SNACKS,null,null,379,2158.1299999999997,419
DEBIT,0,Edible Groc,null,null,377,2626.9400000000014,410
EBT,0,Chicken,null,null,376,2680.75,381
CASH,0,E-Cigarettes,null,null,374,6998.640000000003,400
CASH,0,FAST FOOD,null,null,373,879.7699999999999,385
EBT,0,Grocery Tax,null,null,373,1308.5100000000002,504
DEBIT,0,Labor,null,null,372,76924.06999999999,372
DEBIT,0,Energy Drink,null,null,370,1124.4699999999998,373
CASH,0,DIP,null,null,370,1508.37,651
CASH,0,Other Tobacco,null,null,368,7593.550000000001,441
CASH,0,SNUFF,null,null,368,4435.860000000002,395
DEBIT,0,LOTTERY P O,null,null,366,-6460,366
CREDIT,0,Lottery PO,null,null,366,-4603,366
COUPON,0,GROCERY,null,null,364,1460.9799999999998,496
DEBIT,0,GROC. TAX,null,null,359,1861.970000000001,406
DEBIT,0,CHICKEN,null,null,357,984.0299999999997,482
CREDIT,0,LOTTRY,null,null,353,3045,392
CASH,0,GEN MERCH,null,null,353,3005.23,384
DEBIT,0,Produce,null,null,351,1027.43,447
DEBIT,0,credit fee,null,null,350,144.87999999999997,350
CASH,0,Beer/Wine,null,null,349,3014.88,561
DEBIT,0,SCRATCH WIN,null,null,346,-3567,346
DEBIT,0,Instant Ticket Payou,null,null,345,-9130,345
EBT,0,NON TAX GROC,null,null,342,1054.37,397
DEBIT,0,deli no tax,null,null,334,759.5600000000001,357
DEBIT,0,NONTAX GROC,null,null,332,9251.61,341
EBT,0,Candy,null,null,332,989.1099999999999,621
CREDIT,0,Grocery NonTax,null,null,328,1633.1000000000001,399
DEBIT,0,SCRATCH PAYOUT,null,null,328,-5153,333
EBT,0,TOBACCO,null,null,327,1939.4,675
EBT,0,GENMERCHNT,null,null,323,792.7900000000001,328
CREDIT,0,Fountain,null,null,319,440.30000000000007,353
DEBIT,0,SNUFF,null,null,316,5309.290000000002,359
DEBIT,0,lotto on line,null,null,315,1522.29,318
CREDIT,0,NEWS,null,null,311,638.38,319
CASH,0,Edible Grocery NT,null,null,311,1424.05,335
HOUSE ACCOUNT,0,GROCERY NON-TAX,null,null,310,4348.24,530
CASH,0,LOTTOPAYOUT,null,null,309,-6609,309
EBT,0,NON TAX GROCRY,null,null,308,2016.05,366
EBT,0,GROCERY LOW TAX,null,null,307,1202.4800000000002,319
CREDIT,0,BEER/WINE,null,null,302,3946.120000000001,384
CASH,0,LOTTERY TICKETS,null,null,302,4184.0599999999995,307
CASH,0,GROCERY NON-TAXABLE,null,null,300,747.9500000000002,314
CASH,0,coffee,null,null,299,567.5099999999998,310
CHECK,0,ONLINE LOTO,null,null,299,2686.9,299
DEBIT,0,E-CIG,null,null,297,7719.240000000002,297
DEBIT,0,Grocery NonTax,null,null,297,1266.65,389
DEBIT,0,COLD DELI,null,null,297,448.88000000000005,308
DEBIT,0,NEWS,null,null,292,617,299
CHECK,0,LOTTO,null,null,289,12762,290
DEBIT,0,COUPONS,null,null,289,-527.72,290
CASH,0,PACK CIG,null,null,289,2511.9399999999996,709
CASH,0,NON-GROCERY,null,null,289,1153.4099999999999,334
DEBIT,0,Beer/Wine,null,null,287,2839.850000000001,516
EBT,0,TAX GROC,null,null,284,1042.8499999999997,303
CREDIT,0,BOTTLE RETURN,null,null,284,-1909.6599999999994,284
CREDIT,0,PACKAGED BEVERAGE,null,null,284,5908.400000000001,329
CREDIT,0,CAR WASH,null,null,282,11717.410000000002,283
CASH,0,Vape Products,null,null,279,7491.600000000001,297
CASH,0,TAXABLE GROCERY,null,null,278,2148.7400000000002,325
CREDIT,0,NEWSPAPER,null,null,278,533.14,288
EBT,0,EDIBLE GROCERY N,null,null,277,1004.8899999999998,302
CREDIT,0,COLD DELI,null,null,277,409.30999999999995,289
CASH,0,OTHER DELI,null,null,276,510.55,304
CASH,0,LOTTERY GAMING,null,null,273,2769.5,273
CREDIT,0,WINE,null,null,273,3254.580000000001,380
CREDIT,0,Beer/Wine,null,null,271,2490.9000000000005,439
EBT,0,FAST FOOD,null,null,270,698.3699999999999,289
EBT,0,Grocery,null,null,270,1360.1800000000003,361
CASH,0,GIFT CARD,null,null,268,11812.41,269
DEBIT,0,GROCERY NONFOOD,null,null,266,2831.9300000000007,284
CASH,0,GROCERY NONFOOD,null,null,266,2126.78,295
CASH,0,GIFT CARDS,null,null,266,11132.6,269
DEBIT,0,Cigars,null,null,265,980.2,527
CREDIT,0,DELI OTHER,null,null,263,1538.1100000000004,291
CASH,0,license,null,null,259,7087.8,298
DEBIT,0,Gen Merch,null,null,259,1189.2199999999998,316
DEBIT,0,LOTTO ONLINE P/O,null,null,259,-2078.99,260
CARD,0,GROCERY,null,null,255,2118.6100000000006,280
CREDIT,0,GROCERY NONFOOD,null,null,253,3333.620000000001,259
CASH,0,PREPAID CARDS,null,null,252,10045,252
DEBIT,0,GEN MERCH,null,null,252,2809.7299999999996,344
DEBIT,0,Lotto Paid Out,null,null,251,-4121,251
DEBIT,0,Maxican Candy,null,null,251,326.59000000000003,422
DEBIT,0,04 Beer,null,null,251,1621.14,323
DEBIT,0,NO TAX GROCERY,null,null,250,501.64000000000004,315
DEBIT,0,PACKAGED BEVERAGE,null,null,250,4492.99,283
DEBIT,0,BOTTLE RETURN,null,null,249,-2272.7000000000003,249
CASH,0,General Merch,null,null,247,5695.08,281
CREDIT,0,LOTTERY P/O,null,null,246,-3221,246
DEBIT,0,DELI HOT FOODS,null,null,245,1020.29,262
EBT,0,GROCERIES,null,null,244,9286.7,279
LOTTERY,0,debitfee,null,null,240,83.99999999999996,240
CREDIT,0,ONLINE LOTTERY,null,null,238,2793.5,240
CARD,0,LOTTERY PAY-OUT,null,null,235,-4180,235
CREDIT,0,Novelty,null,null,232,1621.3800000000003,301
CREDIT,0,Wine,null,null,230,3202.550000000001,282
DEBIT,0,LOTTERY PAID OUTS,null,null,229,-2110,229
CASH,0,04 Beer,null,null,225,1052.31,280
CREDIT,0,Cigars,null,null,224,1143.1799999999996,442
CASH,0,Energy Drink,null,null,222,675.46,226
DEBIT,0,ONLINE WIN,null,null,222,-1283,222
CASH,0,Online Sales,null,null,220,1364,220
DEBIT,0,TAXABLE GROCERY,null,null,218,1385.0700000000004,261
CREDIT,0,GROCERY FOOD,null,null,217,738.14,234
DEBIT,0,Lotto Winner,null,null,215,-1150,215
CASH,0,Edible Groc,null,null,213,1453.3600000000001,230
CREDIT,0,DELI LUNCH,null,null,211,758.58,223
EBT,0,NON TAX GROCERY,null,null,211,643.71,236
CREDIT,0,Soda Fountain,null,null,211,414.97999999999996,231
CASH,0,DELI HOT FOODS,null,null,210,897.9200000000001,232
DEBIT,0,NON GROCERY,null,null,209,1624.2800000000004,243
CASH,0,LOTTERY INSTANT,null,null,209,2155.4,228
CASH,0,PACKAGED BEVERAGE,null,null,209,1637.75,258
CASH,0,SCRATCH PAY OUT,null,null,203,-3194,203
CREDIT,0,Coupons,null,null,200,-579,206
CREDIT,0,Online Payout,null,null,200,-1231,200
DEBIT,0,SCRATCH TICKET,null,null,200,2772.1800000000003,211
EBT,0,Deli Cold,null,null,199,1636.2000000000003,217
CASH,0,Phone Card,null,null,199,5690.6900000000005,211
CREDIT,0,CIGS PACK,null,null,199,3093.3300000000004,811
DEBIT,0,LOTTERY PAID OUT,null,null,198,-2158.02,198
CREDIT,0,E-Cigarettes,null,null,197,3626.500000000001,203
CREDIT,0,POWERBALL,null,null,196,2407.63,196
DEBIT,0,CIG Carton,null,null,194,15338.759999999997,248
CASH,0,Pizza,null,null,193,2244.080000000001,193
CREDIT,0,GEN MERCH,null,null,193,2344.03,217
HOUSE ACCOUNT,0,TOBACCO,null,null,193,1712.9299999999998,522
DEBIT,0,Wine,null,null,191,2109.8200000000006,234
CASH,0,GROCERY LO TAX,null,null,191,260.09,196
CASH,0,CANDY AND GUM,null,null,190,530.2,208
CASH,0,SCRACH,null,null,188,1270.99,199
COUPON,0,PACK CIGS,null,null,187,2539.2400000000002,353
DEBIT,0,Edible Grocery NT,null,null,187,1377.45,195
CASH,0,CIG COUP,null,null,187,-457.97999999999996,187
CASH,0,GROC. NTAX,null,null,186,839.95,198
CREDIT,0,Groc No Tax,null,null,185,260.42999999999995,213
CASH,0,Scratch Tickets,null,null,178,1815,301
CASH,0,Grocery Ntx,null,null,176,642.1199999999999,221
CREDIT,0,Chips,null,null,176,426.83,191
CASH,0,Grocery Taxable,null,null,175,686.46,195
DEBIT,0,Grocery Taxable,null,null,175,909.22,200
DEBIT,0,OTHER DELI,null,null,174,339.50000000000006,191
DEBIT,0,SWEET SNACKS,null,null,174,426.8299999999999,209
EBT,0,GEN MERCH NT,null,null,173,608.0400000000001,190
DEBIT,0,Pizza,null,null,173,2001.0300000000004,173
CREDIT,0,CIG,null,null,173,1496.44,327
CASH,0,PAYOUT LOTTO,null,null,172,-5961.610000000001,172
CASH,0,GROCERY N TAX,null,null,172,1391.29,200
DEBIT,0,Chew,null,null,172,2989.0399999999995,402
DEBIT,0,E CIGARETTES,null,null,171,2979.39,175
CASH,0,CAR WASH,null,null,171,6635.150000000001,173
CHECK,0,Licenses,null,null,170,6155.25,170
CREDIT,0,Salty Snacks,null,null,169,582.18,183
CHECK,0,Online Lottery,null,null,166,1198,166
DEBIT,0,NON-GROCERY,null,null,166,621.96,182
CASH,0,VENDOR COUPON,null,null,163,-400.88,163
HOUSE ACCOUNT,0,LOTTO,null,null,163,1102,163
CASH,0,SWEET SNACKS,null,null,161,400.32,197
CREDIT,0,SNUFF,null,null,161,2658.640000000001,175
CREDIT,0,CIG COUPONS,null,null,160,-430.98,160
CASH,0,E-CIG,null,null,159,3948.5400000000004,159
DEBIT,0,Chips,null,null,157,420.28000000000003,175
CASH,0,GROCERY NON TAXABLE,null,null,156,636.97,173
DEBIT,0,FAST FOOD,null,null,154,345.8,160
DEBIT,0,GIFT CARD,null,null,153,6088.67,166
DEBIT,0,PREPAID CARDS,null,null,152,5035,152
CREDIT,0,SCRATCH TICKET,null,null,152,2453,170
DEBIT,0,GEN MERCHANDISE,null,null,151,1583.2200000000003,252
DEBIT,0,LOTTO-OUT,null,null,151,-2216,151
DEBIT,0,BOTTLE RETURNS,null,null,151,-43.660000000000004,156
CREDIT,0,NON-GROCERY,null,null,151,716.42,187
COUPON,0,TAX GROCRY,null,null,150,6542.21,461
EBT,0,DELI LUNCH,null,null,150,545.3100000000001,157
CHECK,0,Lotto Pay Out,null,null,149,-812.5,149
HOUSE ACCOUNT,0,Grocery,null,null,147,2089.21,215
CASH,0,SCRTCH,null,null,145,2065,190
DEBIT,0,Water,null,null,144,433.27,169
LOTTERY,0,TAX GROCERY,null,null,142,837.41,176
CASH,0,GEN MERCHANDISE,null,null,141,1022.7,201
DEBIT,0,GROCERY HI TAX,null,null,140,428.40000000000003,174
CHECK,0,Lottery,null,null,140,1323,141
CASH,0,Grocery NT,null,null,140,336.48,165
HOUSE ACCOUNT,0,DELI HOT FOODS,null,null,140,662.4300000000001,170
EBT,0,Cigarette,null,null,139,1479.9200000000003,150
CASH,0,Publications,null,null,139,301.94,139
CREDIT,0,E-CIG,null,null,138,3424.8700000000003,138
CASH,0,Payout,null,null,135,-11015.07,135
LOTTERY,0,SCRATCH OFF LOTTERY,null,null,135,1979,137
EBT,0,EDIBLE GROCERY,null,null,135,442.2900000000001,177
CREDIT,0,ON LINE LOTTO,null,null,135,1223,136
DEBIT,0,LOTTERY PD OUT,null,null,134,-1082,134
CREDIT,0,CIG Carton,null,null,133,11639.66,178
CASH,0,Labor,null,null,133,27470.31,133
CASH,0,GROCERY TAXABLE,null,null,132,448.39000000000004,157
DEBIT,0,Non Tax Grocery,null,null,132,496.03,145
CASH,0,GROC TAXABLE,null,null,131,936.2899999999998,159
CASH,0,6.75% GROC,null,null,131,464.5900000000001,150
CREDIT,0,LOTTO ONLINE,null,null,131,2090.7200000000003,131
DEBIT,0,CIG COUP,null,null,130,-266.59000000000003,133
CREDIT,0,lotto on line,null,null,129,435,132
CREDIT,0,Lotto Paid out,null,null,129,-1163,130
EBT,0,SNACK,null,null,128,480.02,157
HOUSE ACCOUNT,0,FOUNTAIN,null,null,128,211.95,131
DEBIT,0,Salty Snacks,null,null,126,424.80000000000007,151
HOUSE ACCOUNT,0,Grocery tax,null,null,126,1145.6,126
CHECK,0,TOBACCO,null,null,125,1240.49,257
CASH,0,Wine,null,null,125,1220.4,144
DEBIT,0,GROCERY NON TAXABLE,null,null,125,663.72,151
DEBIT,0,GROCERY NON-TAXABLE,null,null,125,791.8900000000002,250
CREDIT,0,NONEDIBLE GROCERY,null,null,125,894.3599999999999,134
CASH,0,SNACKS/CHIPS NONTAX,null,null,125,486.41999999999996,171
CREDIT,0,LOTTO P/O,null,null,122,-1121.8899999999999,122
CASH,0,Groc NT,null,null,122,824.0900000000001,138
DEBIT,0,Lotto PO,null,null,120,-1655,120
CASH,0,BAKERY,null,null,120,235.49,128
CREDIT,0,GROCERY NON TAXABLE,null,null,120,537.8,133
DEBIT,0,Coupons,null,null,119,-277.12,121
CREDIT,0,Grocery NT,null,null,119,420.15999999999997,136
DEBIT,0,CAR WASH,null,null,119,11991.560000000001,120
CASH,0,Water,null,null,118,416.62,151
CREDIT,0,Edible Grocery NT,null,null,118,2613.16,135
CREDIT,0,04 Beer,null,null,116,825.2999999999998,126
COUPON,0,lotto on line,null,null,116,722.5,116
CREDIT,0,Lotto Pay Out,null,null,116,-441.5,117
CREDIT,0,Fast Food,null,null,116,315.11,130
CASH,0,NON EDIBLE GROCERY,null,null,116,536.3,138
CREDIT,0,Grocery Ntx,null,null,115,349.09000000000003,149
CREDIT,0,GIFTCARD,null,null,115,5530,115
CASH,0,NON-EDIBLE GRO,null,null,115,335.31,174
HOUSE ACCOUNT,0,Produce,null,null,112,321.28999999999996,133
CASH,0,E CIGARETTES,null,null,112,1908.6200000000003,117
CASH,0,29 Foodservice Prep On-site,null,null,110,237.40999999999994,125
CREDIT,0,GROCERY NON-TAXABLE,null,null,110,586.8900000000001,117
CREDIT,0,SCRATCH PAYOUT,null,null,109,-1082,109
LOTTERY,0,MISC,null,null,109,182.51000000000002,121
EBT,0,CANDY AND GUM,null,null,108,510.62,110
CREDIT,0,Trans Fee,null,null,108,0,108
CASH,0,Non Tax Grocery,null,null,108,296.11,116
EBT,0,NO TAX GROCERY,null,null,108,387.6400000000001,133
CASH,0,CANDY/GUM,null,null,107,217.42999999999998,162
DEBIT,0,SCRATCH OFF,null,null,107,1328.37,111
CREDIT,0,LOTTERY PAID OUT,null,null,106,-1186,106
CREDIT,0,credit debitcardfee,null,null,106,231.25,109
DEBIT,0,CHEWING TOBACCO,null,null,106,3297.9200000000005,107
CREDIT,0,Beer Wine Liquor,null,null,105,812.67,197
CHECK,0,GROCERY NON-TAX,null,null,105,198.09999999999997,125
CREDIT,0,EDIBLE GROCERY T,null,null,105,569.84,114
CREDIT,0,Lotto Paid Out,null,null,105,-1081.99,105
CREDIT,0,TAXABLE GROCERY,null,null,105,841.3000000000001,128
DEBIT,0,STORE COUPON,null,null,104,-399.34999999999997,104
CREDIT,0,coffee,null,null,104,202.79000000000002,108
CREDIT,0,Energy Drink,null,null,103,315.9300000000001,104
CASH,0,CIGG PACKS,null,null,103,1082.9399999999998,373
EBT,0,ICE CREAM,null,null,102,488.1,108
DEBIT,0,Lottery OnLine Payou,null,null,101,-1412.5,101
DEBIT,0,credit debitcardfee,null,null,101,265.15,108
CASH,0,Coupons,null,null,101,-347,106
DEBIT,0,license,null,null,101,3194,112
EBT,0,TAX GROCERY,null,null,101,277.33,120
HOUSE ACCOUNT,0,NT-GROCERY,null,null,101,362.35,120
CREDIT,0,license,null,null,100,3313,111
COUPON,0,CIGS PACK,null,null,99,2023.72,214
CREDIT,0,LOTTO PAY OUT,null,null,99,-3889,99
